(playable-blip) (base) pool@pool-geek:/media/pool/PLAYABLE-D/work/tests$ python blip.py 
[device] cuda | mps_built=False | mps_available=False
[00:02:15] a black and white photo of a desert  (0.272s)
[01:06:56] a horse drawn wagon is parked in front of a large rock formation  (0.090s)
[01:06:58] a horse drawn wagon is parked in front of a rock formation  (0.084s)
[01:07:00] a horse drawn wagon in front of a rock formation  (0.072s)
[01:07:02] a horse drawn carriage is parked in front of a mountain  (0.080s)
[01:07:04] a black and white photo of a mountain  (0.061s)
[01:07:06] a black and white photo of a mountain  (0.061s)
[01:07:08] a man riding a horse down a dirt road  (0.067s)
[01:07:10] a man riding a horse down a dirt road  (0.067s)
[01:07:12] a horse drawn carriage on a dirt road  (0.062s)
[01:07:14] a man in a horse drawn carriage in a desert  (0.073s)
[01:07:16] a man in a plaid shirt holding a gun  (0.067s)
[01:07:18] a man is working on a gun  (0.057s)
[01:07:20] a man is working on a piece of wood  (0.066s)
[01:07:22] a man in a plaid shirt holding a gun  (0.068s)
[01:07:24] a man in a plaid shirt is holding a gun  (0.072s)
[01:07:26] a man in a plaid shirt is holding a gun  (0.073s)
[01:07:28] a man in a plaid shirt is working on a piece of wood  (0.088s)
[01:07:30] a man in a cowboy hat and plaid shirt holding a rifle  (0.084s)
[01:07:32] a man sitting on a chair with a cell in his hand  (0.083s)
[01:07:34] a man sitting on a chair with a gun in his hand  (0.083s)
[01:07:36] a man sitting in a chair with a laptop  (0.067s)
[01:07:38] a man sitting on a chair in a room  (0.069s)
[01:07:40] a man sitting on a chair in a room  (0.068s)
[01:07:42] a man in a cowboy hat sitting on a couch  (0.071s)
[01:07:44] a man in a cowboy hat sitting on a couch  (0.073s)
[01:07:46] a man in a cowboy hat sitting on a couch  (0.074s)
[01:07:48] a man in a cowboy hat sitting on a couch  (0.076s)
[01:07:50] a man in a cowboy hat sitting on a couch  (0.073s)
[01:07:52] a man in a cowboy hat sitting on a couch  (0.071s)
[01:07:54] a man in a cowboy hat sitting on a couch  (0.072s)
[01:07:56] a man sitting on a chair in a room  (0.068s)
[01:07:58] a man sitting on a chair in a room  (0.068s)
[01:08:00] a man sitting on a chair in a room  (0.068s)
[01:08:02] a man sitting on a chair in a room  (0.066s)
[01:08:04] a man sitting on a chair in a room  (0.066s)
[01:08:06] a man sitting on a chair in a room  (0.066s)
[01:08:08] a man in a cowboy hat sitting on a couch  (0.072s)
[01:08:10] a man in a cowboy hat sitting on a couch  (0.073s)
[01:08:12] a man in a cowboy hat sitting on a couch  (0.074s)
[01:08:14] a man in a cowboy hat sitting on a couch  (0.073s)
[01:08:16] a man in a cowboy hat sitting on a couch  (0.075s)
[01:08:18] a man in a cowboy hat sitting on a couch  (0.076s)
[01:08:20] a man in a cowboy hat sitting on a couch  (0.071s)
[01:08:22] a man in a cowboy hat sitting on a couch  (0.071s)
[01:08:24] a man sitting on a chair in a room  (0.066s)
[01:08:26] a man sitting in a chair in a room  (0.068s)
[01:08:28] a clock is sitting on a pole  (0.056s)
[01:08:30] a man in a cowboy hat sitting on a couch  (0.073s)
[01:08:32] a man in a cowboy hat sitting on a couch  (0.072s)
[01:08:34] a man sitting in a chair in a room  (0.067s)
[01:08:36] a man standing on top of a bed  (0.061s)
[01:08:38] a man standing in a room with a painting on the wall  (0.086s)
[01:08:40] a man standing in a room with a bed  (0.065s)
[01:08:42] a man standing in a room next to a bed  (0.070s)
[01:08:44] a man is sitting on a bed in a room  (0.071s)
[01:08:46] a man in a cowboy hat sitting on a couch  (0.071s)
[01:08:48] a man in a cowboy hat sitting on a couch  (0.072s)
[01:08:51] a man and woman in a bedroom  (0.059s)
[01:08:53] a man in a bedroom with a woman  (0.062s)
[01:08:55] a man in a bed with a woman in a chair  (0.078s)
[01:08:57] a man in a suit and tie is standing next to a woman in a bed  (0.105s)
[01:08:59] a man in a room with a bed and a chair  (0.078s)
[01:09:01] a man sitting on a chair in a room  (0.067s)
[01:09:03] a man smoking in front of a door  (0.062s)
[01:09:05] a man in a hat and coat is sitting on a bench  (0.083s)
[01:09:07] a man in a hat and coat is looking at something  (0.078s)
[01:09:09] a man standing in front of a door  (0.061s)
[01:09:11] a man standing in front of a door  (0.061s)
[01:09:13] a man in a cowboy hat sitting on a couch  (0.076s)
[01:09:15] a man standing in front of a door  (0.060s)
[01:09:17] a man standing in front of a door  (0.064s)
[01:09:19] a man smoking a cigarette in a room  (0.063s)
[01:09:21] a man standing in front of a door  (0.064s)
[01:09:23] a man standing in front of a door  (0.063s)
[01:09:25] a man standing in front of a door  (0.062s)
[01:09:27] a man in a plaid shirt is looking at his phone  (0.077s)
[01:09:29] a man standing in front of a door  (0.063s)
[01:09:31] a man in a cowboy hat sitting on a couch  (0.073s)
[01:09:33] a man in a plaid shirt smoking a cigarette  (0.067s)
[01:09:35] a man smoking a cigarette in a doorway  (0.061s)
[01:09:37] a man smoking a cigarette in a doorway  (0.063s)
[01:09:39] a man in a plaid shirt smoking a cigarette  (0.074s)
[01:09:41] a man standing in front of a mirror  (0.063s)
[01:09:43] a man standing in front of a door  (0.065s)
[01:09:45] a man standing in a room with a chair  (0.068s)
[01:09:47] a man in a cowboy hat is sitting on a couch  (0.078s)
[01:09:49] a man in a cowboy hat sitting on a couch  (0.074s)
[01:09:51] a man in a cowboy hat sitting on a couch  (0.075s)
[01:09:53] a man in a cowboy hat sitting on a couch  (0.073s)
[01:09:55] a man in a cowboy hat sitting on a couch  (0.072s)
[01:09:57] a man in a cowboy hat sitting on a couch  (0.075s)
[01:09:59] a man in a cowboy hat sitting on a couch  (0.075s)
[01:10:01] a man in a cowboy hat sitting on a couch  (0.077s)
[01:10:03] a man in a cowboy hat is sitting on a couch  (0.079s)
[01:10:05] a man in a cowboy hat is sitting on a couch  (0.076s)
[01:10:07] a man in a cowboy hat is sitting on a couch  (0.077s)
[01:10:09] a man in a cowboy hat sitting on a couch  (0.070s)
[01:10:11] a man in a cowboy hat is sitting on a couch  (0.078s)
[01:10:13] a man in a cowboy hat sitting on a couch  (0.073s)
[01:10:15] a man in a cowboy hat sitting on a couch  (0.076s)
[01:10:17] a man in a cowboy hat is sitting on a couch  (0.082s)
[01:10:19] a man in a cowboy hat sitting on a couch  (0.078s)
[01:10:21] a man in a cowboy hat sitting on a couch  (0.073s)
[01:10:23] a man sitting in a chair in a room  (0.069s)
[01:10:25] a man sitting in a chair in a room  (0.068s)
[01:10:27] a man sitting in a chair in a room  (0.067s)
[01:10:29] a man sitting in a chair in a room  (0.068s)
[01:10:31] a man sitting in a chair in a room  (0.068s)
[01:10:33] a man in a cowboy hat sitting on a couch  (0.077s)
[01:10:35] a man in a cowboy hat sitting on a couch  (0.074s)
[01:10:37] a man in a cowboy hat is sitting on a couch  (0.079s)
[01:10:39] a man in a cowboy hat is sleeping on a couch  (0.077s)
[01:10:41] a man in a cowboy hat sitting on a couch  (0.072s)
[01:10:43] a man in a cowboy hat is sitting on a couch  (0.078s)
[01:10:45] a man in a black jacket is looking at something  (0.073s)
[01:10:47] a man is standing on a bed with a child  (0.072s)
[01:10:49] a man in a hat and plaid shirt is working on a piece of wood  (0.101s)
[01:10:51] a man sitting on a couch with a hat on  (0.073s)
[01:10:53] a man sitting on a couch with a hat on  (0.075s)
[01:10:55] a man sitting on a couch with a hat on  (0.074s)
[01:10:57] a man sitting on a couch with a hat on  (0.073s)
[01:10:59] a man sitting on a couch with a hat on  (0.072s)
[01:11:01] a man in a cowboy hat and a hat on a horse  (0.084s)
[01:11:03] a man in a hat and plaid shirt is working on a piece of wood  (0.100s)
[01:11:05] a man in a hat and plaid shirt is working on a piece of wood  (0.099s)
[01:11:07] a man in a cowboy hat and a hat on a horse  (0.088s)
[01:11:09] a man in a plaid shirt and jeans is standing in front of a window  (0.098s)
[01:11:11] a man in a room with a chair  (0.063s)
[01:11:13] a man in a room with a guitar  (0.062s)
[01:11:15] a man sitting on a chair in a room  (0.068s)
[01:11:17] a man sitting on a bed in a room  (0.065s)
[01:11:19] a man sitting in a chair with a laptop  (0.067s)
[01:11:21] a man sitting in a chair with a laptop  (0.067s)
[01:11:23] a man sitting in a chair in a room  (0.069s)
[01:11:25] a man sitting in a chair with a laptop  (0.068s)
[01:11:27] a man sitting in a chair with a cigarette  (0.068s)
[01:11:29] a man sitting in a chair with a woman  (0.068s)
[01:11:31] a man sitting in a chair with a laptop  (0.070s)
[01:11:33] a man sitting in a chair with a cigarette  (0.071s)
[01:11:35] a black and white photo of a desert  (0.064s)
[01:11:37] a black and white photo of a desert  (0.064s)
[01:11:39] a black and white photo of a desert  (0.064s)
[01:11:41] a black and white photo of a desert  (0.062s)
[01:11:43] a man sitting in a chair with his hands on his knees  (0.087s)
[01:11:45] a black and white photo of a desert  (0.063s)
[01:11:47] a black and white photo of a desert  (0.063s)
[01:11:49] a black and white photo of a desert  (0.063s)
[01:11:51] a group of men riding horses down a dirt road  (0.074s)
[01:11:53] a group of men riding horses down a dirt road  (0.073s)
[01:11:55] a black and white photo of a desert  (0.062s)
[01:11:57] a black and white photo of a desert  (0.063s)
[01:11:59] a black and white photo of a desert  (0.063s)
[01:12:01] two men riding horses through the desert  (0.057s)
[01:12:03] two men riding horses in the desert  (0.058s)
[01:12:05] a group of people walking down a dirt road  (0.066s)
[01:12:07] a man riding a motorcycle down a dirt road  (0.067s)
[01:12:09] a group of men sitting at a bar  (0.062s)
[01:12:11] a man riding a horse in front of a building  (0.070s)
[01:12:13] a person is walking a dog through a window  (0.073s)
[01:12:15] a man riding a horse in front of a building  (0.076s)
[01:12:17] a man is looking out a window at a horse  (0.075s)
[01:12:19] a group of men sitting at a bar  (0.062s)
[01:12:21] a man in a cowboy hat walking down the street  (0.071s)
[01:12:23] a man in a hat and a man in a shirt  (0.079s)
[01:12:25] a group of men sitting at a bar  (0.063s)
[01:12:27] the men are sitting at the bar  (0.056s)
[01:12:29] a group of men sitting at a bar  (0.062s)
[01:12:31] a group of men sitting at a bar  (0.063s)
[01:12:33] a man in a cowboy hat sitting at a bar  (0.073s)
[01:12:35] a group of men standing around a bar  (0.062s)
[01:12:37] a man in a suit and hat standing next to a woman  (0.082s)
[01:12:39] a man standing in a room next to a staircase  (0.073s)
[01:12:41] a man in a hat standing at a bar  (0.068s)
[01:12:43] the man in the hat is sitting at the bar  (0.077s)
[01:12:45] a man in a hat and a man in a suit sitting at a bar  (0.097s)
[01:12:47] a man in a hat and a woman in a dress sitting at a bar  (0.095s)
[01:12:49] a man sitting at a bar with a woman standing behind him  (0.082s)
[01:12:51] a group of people riding horses through a desert  (0.066s)
[01:12:53] two men riding horses in the desert  (0.056s)
[01:12:55] a group of men riding horses down a dirt road  (0.073s)
[01:12:57] a group of men riding horses through the desert  (0.068s)
[01:12:59] a group of people riding horses through a desert  (0.070s)
[01:13:01] a black and white photo of a desert  (0.062s)
[01:13:03] a black and white photo of a village with horses  (0.074s)
[01:13:05] a black and white photo of a village  (0.062s)
[01:13:07] a black and white photo of a village with horses  (0.074s)
[01:13:09] a black and white photo of a village with horses  (0.073s)
[01:13:11] a black and white photo of people walking through a desert  (0.079s)
[01:13:13] a man riding a horse through a fence  (0.064s)
[01:13:15] a group of people riding horses in the desert  (0.066s)
[01:13:17] a black and white photo of a building in the desert  (0.078s)
[01:13:19] a man with a tie around his neck  (0.063s)
[01:13:21] a man with a tie around his neck  (0.065s)
[01:13:23] a black and white photo of a horse ranch  (0.070s)
[01:13:25] a group of people riding horses down a dirt road  (0.074s)
[01:13:27] a woman standing in front of a building  (0.063s)
[01:13:29] a woman in a dress standing in front of a building  (0.081s)
[01:13:31] a group of men running through a dirt covered street  (0.071s)
[01:13:33] two men riding horses in a dirt lot  (0.067s)
[01:13:35] a man standing in front of a mirror  (0.063s)
[01:13:37] a man sitting in a chair looking at his cell  (0.073s)
[01:13:39] a man sitting on a chair in front of a building  (0.080s)
[01:13:41] a man in a cowboy hat and a woman in a dress  (0.085s)
[01:13:43] a man riding a horse down a street  (0.066s)
[01:13:45] a group of men riding horses down a street  (0.067s)
[01:13:47] a man in a cowboy hat sitting on a chair  (0.070s)
[01:13:49] a man in a cowboy hat sitting on a chair  (0.075s)
[01:13:51] a man in a cowboy hat sitting on a chair  (0.074s)
[01:13:53] a man in a cowboy hat sitting on a chair  (0.072s)
[01:13:55] a man sitting on a chair in a room  (0.069s)
[01:13:57] a man in a cowboy hat sitting on a chair  (0.073s)
[01:13:59] a man in a cowboy hat standing in a room  (0.074s)
[01:14:01] a man in a cowboy hat looking out a window  (0.073s)
[01:14:03] a man in a cowboy hat looking out a window  (0.072s)
[01:14:05] a man in a cowboy hat and a gun  (0.068s)
[01:14:07] a man in a cowboy hat and a gun  (0.068s)
[01:14:09] a man in a cowboy hat and a gun  (0.065s)
[01:14:11] a group of men riding horses down a dirt road  (0.074s)
[01:14:13] a group of people riding horses down a dirt road  (0.076s)
[01:14:15] a man in a hat looking out a window  (0.068s)
[01:14:17] a group of men riding horses down a dirt road  (0.073s)
[01:14:19] a man in a hat is standing in a room  (0.071s)
[01:14:21] a man in a hat standing next to a table  (0.073s)
[01:14:23] a man in a cowboy hat standing next to a woman  (0.078s)
[01:14:25] a man in a cowboy hat and leather jacket standing on a bed  (0.089s)
[01:14:27] a man in a suit and hat standing on a bed  (0.082s)
[01:14:29] a man sitting on a bed next to a woman  (0.076s)
[01:14:31] a man sitting in a chair next to a woman  (0.073s)
[01:14:33] a man in a cowboy hat sitting on a bed  (0.073s)
[01:14:35] a man in a hat sitting on a bed  (0.074s)
[01:14:37] a man in a cowboy hat sitting on a bed  (0.072s)
[01:14:39] a man in a cowboy hat sitting on a bed  (0.070s)
[01:14:41] a man sitting on a chair in a room  (0.068s)
[01:14:43] a man sitting on a bed in a room  (0.067s)
[01:14:45] a man sitting on a bed in a room  (0.071s)
[01:14:47] a man sitting on a bed in a room  (0.068s)
[01:14:49] a man sitting on a bed in a room  (0.067s)
[01:14:51] a man in a cowboy hat sitting on a chair  (0.074s)
[01:14:53] a man in a cowboy hat sitting on a chair  (0.073s)
[01:14:55] a group of people riding horses through a curtain  (0.068s)
[01:14:57] two people riding horses through a curtain  (0.059s)
[01:14:59] a man in a cowboy hat holding a rifle  (0.068s)
[01:15:01] a group of men riding horses down a street  (0.067s)
[01:15:03] a man riding a horse down a dirt road  (0.068s)
[01:15:05] a black and white photo of a man riding a horse  (0.079s)
[01:15:07] a black and white photo of a horse drawn through a town  (0.085s)
[01:15:09] a black and white photo of a horse and people in a town  (0.088s)
[01:15:11] a man standing in front of a wooden door  (0.068s)
[01:15:13] a man standing in front of a wooden door  (0.071s)
[01:15:15] a man in a cowboy hat sits on a couch  (0.073s)
[01:15:17] a man in a cowboy hat sitting on a chair  (0.072s)
[01:15:19] a man in a cowboy hat sitting on a chair  (0.072s)
[01:15:21] a man in a cowboy hat sitting on a chair  (0.074s)
[01:15:23] a man in a cowboy hat sitting on a chair  (0.074s)
[01:15:25] a man standing in front of a wooden door  (0.067s)
[01:15:27] a man in a cowboy hat sitting on a chair  (0.074s)
[01:15:29] a man standing in front of a wooden door  (0.070s)
[01:15:31] a man in a cowboy hat sitting on a chair  (0.074s)
[01:15:33] a man in a cowboy hat sitting on a chair  (0.072s)
[01:15:35] a woman in a black dress is standing in front of a door  (0.086s)
[01:15:37] a man in a cowboy hat sitting on a bed  (0.072s)
[01:15:39] a man sitting on top of a bed  (0.062s)
[01:15:41] a man sitting on top of a bed  (0.062s)
[01:15:43] a man sitting on a bed in a room  (0.069s)
[01:15:45] a man in a cowboy hat and a woman in a dress  (0.085s)
[01:15:47] a man in a cowboy hat and a woman in a dress  (0.086s)
[01:15:49] a man in a hat and coat with a gun  (0.073s)
[01:15:51] a man in a cowboy hat and a gun  (0.073s)
[01:15:53] a black and white photo of a staircase  (0.062s)
[01:15:55] a black and white photo of a staircase  (0.065s)
[01:15:57] a black and white photo of people in a room  (0.074s)
[01:15:59] a black and white photo of a staircase  (0.061s)
[01:16:01] a man standing in a room with a staircase  (0.069s)
[01:16:03] a black and white photo of a man in a suit  (0.078s)
[01:16:05] a group of people standing around a staircase  (0.065s)
[01:16:07] a man walking down a street past a building  (0.069s)
[01:16:09] a man walking down a street in a small town  (0.076s)
[01:16:11] a man in a suit and hat looking out of a window  (0.084s)
[01:16:13] a man in a hat and coat standing outside  (0.068s)
[01:16:15] a man in a cowboy hat sitting on a chair  (0.074s)
[01:16:17] a black and white photo of a window with a bird in it  (0.089s)
[01:16:19] a black and white photo of a person jumping  (0.068s)
[01:16:21] a man in a cowboy hat standing next to a woman  (0.078s)
[01:16:23] a man in a cowboy hat standing next to a horse  (0.080s)
[01:16:25] a man in a cowboy hat standing next to a woman  (0.080s)
[01:16:27] a man in a cowboy hat standing next to a woman  (0.077s)
[01:16:29] a man in a cowboy hat standing next to a woman  (0.079s)
[01:16:31] a man in a cowboy hat standing next to a woman  (0.080s)
[01:16:33] a man in a cowboy hat standing next to a woman  (0.080s)
[01:16:35] a man in a cowboy hat standing next to a woman  (0.079s)
[01:16:37] a man in a hat and coat standing outside a building  (0.080s)
[01:16:39] a man in a hat and coat standing outside  (0.070s)
[01:16:41] two men walking down a street in a town  (0.072s)
[01:16:43] two men in cowboy hats talking on the street  (0.069s)
[01:16:45] a group of men in cowboy hats standing on a sidewalk  (0.079s)
[01:16:47] a group of men in cowboy hats standing on a street  (0.081s)
[01:16:49] three men in cowboy hats stand on a street  (0.072s)
[01:16:51] three men in cowboy hats stand on a street  (0.070s)
[01:16:53] three men in cowboy hats stand on a street  (0.070s)
[01:16:55] three men in cowboy hats stand on a sidewalk  (0.069s)
[01:16:57] three men in cowboy hats stand on the street  (0.071s)
[01:16:59] three men in cowboy hats stand on a sidewalk  (0.068s)
[01:17:01] three men in cowboy hats stand on the sidewalk  (0.069s)
[01:17:03] three men in cowboy hats stand on the street  (0.071s)
[01:17:05] three men in hats and suits stand outside a building  (0.076s)
[01:17:07] a man walking down the street in front of a building  (0.081s)
[01:17:09] a man and woman in a room with a mirror  (0.074s)
[01:17:11] a man in a cowboy hat standing next to a woman  (0.079s)
[01:17:13] a man in a cowboy hat and a gun  (0.071s)
[01:17:15] a man in a cowboy hat standing next to a woman  (0.080s)
[01:17:17] a man in a cowboy hat is pointing at a woman  (0.082s)
[01:17:19] a man in a cowboy hat standing next to a woman  (0.081s)
[01:17:21] a man in a cowboy hat and jacket holding a gun  (0.080s)
[01:17:23] a man in a cowboy hat is standing in front of a camera  (0.089s)
[01:17:25] a man in a cowboy hat is standing next to a woman  (0.085s)
[01:17:27] a man in a cowboy hat standing next to a woman  (0.079s)
[01:17:29] a man in a cowboy hat standing next to a woman  (0.083s)
^C
⏹ Interrupted by user.

--- Inference timing ---
Samples timed: 2256
Avg latency per caption: 0.072s
